row_id,order_id,order_date,ship_date,ship_mode,customer_id,segment,city,state,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,profit_margin
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Home Office,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-1237.8462,-17.98933585234704
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Home Office,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-1181.2824,-464.34056603773587
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Consumer,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,-1143.891,-1.7178635790232475
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Consumer,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,-1141.47,-20.567027027027027
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,-1065.372,-124.45934579439252
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,-1049.3406,-4.915404721753794
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,-1031.5385,-45.40222271126761
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Corporate,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,-1002.7836,-51.5305035971223
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Corporate,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,-968.8833,-16.057064965197213
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Consumer,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-950.4,-13.316146387939247
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Consumer,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,-944.9946,-0.904621349185836
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,-938.28,-80.55288461538461
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,90.57,3,0,-935.9595,-10.33410069559457
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-913.176,-0.29615590430137867
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-913.176,-94.94447910168434
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,-814.4832,-6.557835748792271
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,-786.744,-241.03676470588238
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,-786.0144,-9.107508342602893
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-766.012,-111.69612131816857
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,-760.98,-48.28553299492386
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Home Office,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,-734.5264,-24.922855591748096
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Corporate,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,-729.9138,-0.6650428593295576
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Corporate,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-694.2936,-3.63656819610308
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,-653.2834,-5.7645365664266555
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-643.71,-1.2090739430111843
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-630.882,-2.9750445632798574
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,-619.596,-1.6693141650142254
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Corporate,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,-571.9956,-3.8866846053489885
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Corporate,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,-566.5625,-7.274813816127375
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Corporate,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,-559.356,-5.850025100401607
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Corporate,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,-553.6476,-12.041052631578948
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Corporate,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,-538.446,-30.838831615120274
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Consumer,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,-533.7325,-2.518081241743725
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Consumer,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,45,3,0,-525.6405,-11.6809
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Consumer,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,-512.1468,-23.492972477064217
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,-509.997,-13.343720565149138
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,-480.2032,-6.387379622239957
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,-479.988,-77.92012987012987
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,-470.548,-5.228892099122125
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Corporate,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,-465.568,-30.509043250327654
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Corporate,New York City,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,-464.697,-0.4511840380601
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,-462.8624,-2.219324894514768
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,-459.9875,-14.197145061728396
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,-459.6072,-1.4389255189255188
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,-458.1468,-31.46612637362637
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,30,2,0,-453.849,-15.1283
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,-448.896,-9.25940594059406
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,-447.5947,-266.42541666666665
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,-437.5404,-31.297596566523602
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,Los Angeles,California,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,-430.617,-16.67506970260223
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,-427.45,-2.913173856743679
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,-426.986,-5.353385155466399
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Home Office,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-420,-1.9707669568073574
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Corporate,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,-417.0936,-0.37473908918406074
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Corporate,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,-412.6154,-2.4565119546580303
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,Consumer,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,-407.976,-5.376594623089089
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Consumer,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,-407.682,-88.31932409012133
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,Consumer,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,-393.602,-20.661522309711284
73,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-386.957,-0.46512832717901376
74,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,-386.3916,-3.9817765869744433
75,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,Memphis,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-384.7164,-5.285727632446691
76,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-383.9904,-307.6846153846154
77,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-383.031,-39.455191594561185
78,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,-378.4,-13.891336270190896
79,US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,Consumer,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-377.9892,-19.584932642487043
80,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Corporate,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,-376.6932,-1.8096329746348963
81,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Corporate,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,-374.9925,-22.40098566308244
82,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Consumer,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,-373.3048,-25.05401342281879
83,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Consumer,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,-363.528,-16.99523141654979
84,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,Corporate,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,-356.9643,-1.7760831707996654
85,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,Home Office,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-356.728,-1.5484599090183004
86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,Consumer,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,-350.49,-1.1607166512120812
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Consumer,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,LogitechÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,-348.6294,-17.440190095047523
88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Consumer,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0,-347.1174,-56.35022727272727
89,CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,Home Office,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,-339.705,-2.145035613255203
90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,-337.806,-16.806268656716416
91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,-337.806,-4.590753424657533
92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,-337.806,-52.13055555555555
93,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Consumer,Minneapolis,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0,-337.638,-26.05231481481481
94,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Consumer,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,-336.784,-6.3139107611548555
95,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Consumer,Minneapolis,Minnesota,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,-336.6272,-10.213203883495146
96,US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,Home Office,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-331.96,-58.42309046110524
97,CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,Home Office,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,-325.572,-3.3727545840671294
98,CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,Consumer,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,-320.597,-6.247992672279389
99,CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,Corporate,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,-320.2395,-4.1119607087827434
100,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Home Office,Chicago,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,-320.2395,-4.95542677642981
101,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Home Office,Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-319.1916,-3.3257439359839958
102,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Home Office,Chicago,Illinois,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-317.1528,-177.3785234899329
103,CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,Consumer,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,-312.0614,-13.046045150501671
104,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Consumer,Aurora,Colorado,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-304.6653,-1.2753051537070526
105,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Consumer,Aurora,Colorado,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-304.392,-2.9737397420867526
106,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Consumer,Aurora,Colorado,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-302.72,-8.207797841765633
107,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,Consumer,Charlotte,North Carolina,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,-300.735,-4.05784488341969
108,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,Consumer,Charlotte,North Carolina,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,-299.8116,-10.710617319234066
109,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,Consumer,Charlotte,North Carolina,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,-299.2614,-90.57548426150122
110,CA-2015-129476,2015-10-15,2015-10-20,Standard Class,PA-19060,Home Office,Orland Park,Illinois,Central,TEC-AC-10000844,Technology,Accessories,LogitechÂ Gaming G510s - Keyboard,339.96,5,0.2,-297.6848,-0.8756465466525474
111,CA-2017-146780,2017-12-25,2017-12-30,Standard Class,CV-12805,Corporate,New York City,New York,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0,-295.9785,-7.0538250714966635
112,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,Consumer,Urbandale,Iowa,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,-292.9872,-3.857124802527646
113,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,Consumer,Urbandale,Iowa,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0,-292.1,-10.723201174743027
